Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 11:39:54,2021-01-22 11:43:34,3m - 40.298s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_View_Detail_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 11:39:54,2021-01-22 11:40:39,45.061s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/View_Detail_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:39:54,2021-01-22 11:40:39,44.820s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Search_by_Contract_Number_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 11:40:39,2021-01-22 11:40:46,7.100s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Search_by_Contract_Number_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:40:39,2021-01-22 11:40:46,6.977s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Search_by_STATUS_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 11:40:46,2021-01-22 11:43:24,2m - 38.300s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Search_by_STATUS_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:40:46,2021-01-22 11:43:24,2m - 38.212s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Export_Data_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 11:43:24,2021-01-22 11:43:34,9.623s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Export_Data_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:43:24,2021-01-22 11:43:34,9.541s,PASSED
